tick,alive,dead,susceptible,exposed,infectious_asymptomatic,infectious_symptomatic,recovered,vaccinated,gdp,unemployment_rate_pct,national_debt,bank_reserves,bank_in_crisis,healthcare_patients,healthcare_capacity,healthcare_overwhelmed,companies_struggling,companies_bankrupt,lockdown_level,mask_mandate,stimulus_amount,vaccination_rate,mean_wallet,median_wallet,consumer_demand_index
1,10000,0,9655,335,10,0,0,18,955260.0,0.0,12100.0,15000000.0,0,0,500,0,0,0,0,0,100.0,0.6,1222.31,1219.84,1.0
2,10000,0,9358,632,10,0,0,36,955260.0,0.0,16200.0,15000000.0,0,0,500,0,0,0,0,0,100.0,0.6,1247.28,1243.93,1.0
3,10000,0,9051,939,10,0,0,54,955260.0,0.0,16300.0,15000000.0,0,0,500,0,0,0,0,0,100.0,0.6,1271.85,1270.21,1.0
4,10000,0,8755,1235,0,0,10,72,955260.0,0.0,16300.0,15000000.0,0,0,500,0,0,0,0,0,100.0,0.6,1296.41,1297.23,1.0
5,9996,4,8755,900,136,195,10,90,954711.22,0.0,16500.0,15000000.0,0,195,500,0,0,0,0,0,100.0,0.6,1320.96,1320.59,0.9998
6,9995,5,7160,2198,261,366,10,108,936028.76,0.0,17000.0,15000000.0,0,366,500,0,0,0,0,0,100.0,0.6,1344.05,1344.2,0.9998
7,9995,5,4792,4259,394,540,10,126,919885.99,0.0,17500.0,15000000.0,0,540,500,1,0,0,0,0,100.0,0.6,1365.73,1364.06,0.9998
8,9978,22,2768,5987,512,701,10,144,902265.31,0.0,18300.0,15000000.0,0,701,500,1,0,0,0,0,100.0,0.6,1386.48,1385.91,0.9991
9,9969,31,1388,7367,376,692,146,162,885562.54,0.0,19600.0,15000000.0,0,692,500,1,0,0,0,0,100.0,0.6,1405.63,1403.26,0.9988
10,9943,57,840,6320,904,1608,271,180,883095.94,0.0,21600.0,15000000.0,0,1608,500,1,0,0,0,0,100.0,0.6,1424.84,1423.67,0.9977
11,9902,98,335,4457,1728,2978,404,198,791620.63,0.0,24700.0,15000000.0,0,2978,500,1,0,0,0,0,100.0,0.6,1437.05,1437.72,0.9961
12,9848,152,208,2560,2455,4103,522,208,656673.0,0.0,29600.0,15000000.0,0,4103,500,1,2,0,0,0,100.0,0.6,1438.93,1442.64,0.9939
13,9782,218,208,1180,3004,4868,522,208,542642.53,0.0,38300.0,15000000.0,0,4868,500,1,18,0,0,0,100.0,0.6,1431.2,1435.2,0.9913
14,9714,286,208,632,2578,5121,1175,208,463553.58,0.0,49100.0,15000000.0,0,5121,500,1,81,0,0,0,100.0,0.6,1418.06,1421.3,0.9886
15,9635,365,208,127,1835,5154,2311,208,431528.34,0.0,64300.0,15000000.0,0,5154,500,1,117,0,0,0,100.0,0.6,1403.42,1404.79,0.9854
16,9561,439,208,0,1042,5009,3302,208,420134.57,0.0,81100.0,15000000.0,0,5009,500,1,135,0,0,0,100.0,0.6,1387.57,1386.56,0.9824
17,9495,505,208,0,493,4795,3999,208,425619.24,0.0,100000.0,15000000.0,0,4795,500,1,119,0,0,0,100.0,0.6,1373.36,1371.52,0.9798
18,9437,563,208,0,266,4597,4366,208,438317.67,0.0,123300.0,15000000.0,0,4597,500,1,94,0,0,0,100.0,0.6,1360.75,1358.98,0.9775
19,9383,617,208,0,52,4543,4580,208,450270.13,0.0,151100.0,15000000.0,0,4543,500,1,81,0,0,0,100.0,0.6,1351.03,1343.1,0.9753
20,9321,679,208,0,0,3663,5450,208,449125.21,0.0,185500.0,15000000.0,0,3663,500,1,75,0,0,0,100.0,0.6,1342.12,1331.05,0.9728
21,9274,726,208,0,0,2406,6660,208,524178.58,0.0,218000.0,15000000.0,0,2406,500,1,9,0,0,0,100.0,0.6,1340.18,1327.11,0.971
22,9246,754,208,0,0,1349,7689,208,635927.97,0.0,239100.0,15000000.0,0,1349,500,1,0,0,0,0,100.0,0.6,1347.36,1330.31,0.9698
23,9228,772,208,0,0,606,8414,208,730927.75,0.0,254200.0,15000000.0,0,606,500,1,0,0,0,0,100.0,0.6,1362.76,1342.82,0.9691
24,9223,777,208,0,0,315,8700,208,797940.5,0.0,262100.0,15000000.0,0,315,500,0,0,0,0,0,100.0,0.6,1383.11,1361.54,0.9689
25,9223,777,208,0,0,65,8950,208,824310.63,0.0,268200.0,15000000.0,0,65,500,0,0,0,0,0,100.0,0.6,1405.6,1385.37,0.9689
26,9223,777,208,0,0,0,9015,208,847489.13,0.0,273700.0,15000000.0,0,0,500,0,0,0,0,0,100.0,0.6,1430.2,1409.62,0.9689
27,9223,777,208,0,0,0,9015,208,853453.8,0.0,277500.0,15000000.0,0,0,500,0,0,0,0,0,100.0,0.6,1455.17,1433.26,0.9689
28,9223,777,208,0,0,0,9015,208,853453.8,0.0,280700.0,15000000.0,0,0,500,0,0,0,0,0,100.0,0.6,1480.08,1457.38,0.9689
29,9223,777,208,0,0,0,9015,208,853453.8,0.0,283800.0,15000000.0,0,0,500,0,0,0,0,0,100.0,0.6,1504.98,1480.3,0.9689
30,9223,777,208,0,0,0,9015,208,853453.8,0.0,287900.0,15000000.0,0,0,500,0,0,0,0,0,100.0,0.6,1529.99,1506.17,0.9689
31,9223,777,208,0,0,0,9015,208,853453.8,0.0,291800.0,15000000.0,0,0,500,0,0,0,0,0,100.0,0.6,1554.98,1531.62,0.9689
32,9223,777,208,0,0,0,9015,208,853453.8,0.0,295900.0,15000000.0,0,0,500,0,0,0,0,0,100.0,0.6,1579.99,1553.59,0.9689
