tick,alive,dead,susceptible,exposed,infectious_asymptomatic,infectious_symptomatic,recovered,vaccinated,gdp,unemployment_rate_pct,national_debt,bank_reserves,bank_in_crisis,healthcare_patients,healthcare_capacity,healthcare_overwhelmed,companies_struggling,companies_bankrupt,lockdown_level,mask_mandate,stimulus_amount,vaccination_rate,mean_wallet,median_wallet,consumer_demand_index,rehires_today
1,10000,0,9736,254,10,0,0,0,955260.0,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1221.1,1219.84,1.0,0
2,10000,0,9470,520,10,0,0,0,955260.0,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1245.66,1243.93,1.0,0
3,10000,0,9239,751,10,0,0,0,955260.0,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1270.22,1270.21,1.0,0
4,10000,0,9033,957,0,0,10,0,955260.0,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1294.78,1297.23,1.0,0
5,9998,2,9033,703,108,144,10,0,954985.6,0.0,0.0,15000000.0,0,144,500,0,0,0,0,0,0.0,0.0,1319.32,1320.67,0.9999,0
6,9995,5,7706,1764,221,294,10,0,945152.93,0.0,0.0,15000000.0,0,294,500,0,0,0,0,0,0.0,0.0,1343.13,1345.99,0.9998,0
7,9993,7,5668,3571,302,442,10,0,934280.33,0.0,0.0,15000000.0,0,442,500,0,0,0,0,0,0.0,0.0,1365.97,1367.63,0.9997,0
8,9989,11,3736,5297,381,565,10,0,924541.02,0.0,0.0,15000000.0,0,565,500,1,0,0,0,0,0.0,0.0,1388.21,1388.1,0.9996,0
9,9976,24,2143,6890,273,552,118,0,916201.6,0.0,0.0,15000000.0,0,552,500,1,0,0,0,0,0.0,0.0,1409.86,1409.72,0.999,0
10,9959,41,1368,6338,706,1316,231,0,914158.32,0.0,0.0,15000000.0,0,1316,500,1,0,0,0,0,0.0,0.0,1431.37,1430.53,0.9984,0
